Ligand.ApprovedSymbol,Receptor.ApprovedSymbol,Ligand.ApprovedSymbol,Receptor.ApprovedSymbol
EFNA5,EPHA3,Efna5,Epha3
EFNA5,EPHA4,Efna5,Epha4
EFNA5,EPHA5,Efna5,Epha5
EFNA5,EPHA6,Efna5,Epha6
EFNA5,EPHA7,Efna5,Epha7
EFNA5,EPHA8,Efna5,Epha8
EFNA5,EPHB2,Efna5,Ephb2
EFNB1,EPHB1,Efnb1,Ephb1
EFNB1,EPHB2,Efnb1,Ephb2
EFNB1,EPHB3,Efnb1,Ephb3
EFNB1,EPHB4,Efnb1,Ephb4
EFNB1,EPHB6,Efnb1,Ephb6
EFNB2,EPHA4,Efnb2,Epha4
EFNB2,EPHB1,Efnb2,Ephb1
EFNB2,EPHB2,Efnb2,Ephb2
EFNB2,EPHB3,Efnb2,Ephb3
EFNB2,EPHB4,Efnb2,Ephb4
EFNB2,EPHB6,Efnb2,Ephb6
EFNB3,EPHA4,Efnb3,Epha4
EFNB3,EPHB2,Efnb3,Ephb2
EFNB3,EPHB3,Efnb3,Ephb3
EFNB3,EPHB4,Efnb3,Ephb4
EGF,EGFR,Egf,Egfr
EPGN,EGFR,Epgn,Egfr
EPO,EPOR,Epo,Epor
EREG,EGFR,Ereg,Egfr
EREG,ERBB4,Ereg,Erbb4
F2,F2R,F2,F2r
F2,F2RL1,F2,F2rl1
F2,F2RL2,F2,F2rl2
F2,F2RL3,F2,F2rl3
F7,F3,F7,F3
F8,LRP1,F8,Lrp1
F9,LRP1,F9,Lrp1
FASLG,FAS,Faslg,Fas
FASLG,TNFRSF6B,Faslg,Tnfrsf6b
FGA,ITGAX,Fga,Itgax
FGA,ITGB2,Fga,Itgb2
FGF10,FGFR2,Fgf10,Fgfr2
FGF16,FGFR2,Fgf16,Fgfr2
FGF16,FGFR3,Fgf16,Fgfr3
FGF16,FGFR4,Fgf16,Fgfr4
FGF17,FGFR1,Fgf17,Fgfr1
FGF17,FGFR2,Fgf17,Fgfr2
FGF17,FGFR3,Fgf17,Fgfr3
FGF17,FGFR4,Fgf17,Fgfr4
FGF18,FGFR1,Fgf18,Fgfr1
FGF18,FGFR2,Fgf18,Fgfr2
FGF18,FGFR3,Fgf18,Fgfr3
FGF18,FGFR4,Fgf18,Fgfr4
FGF19,FGFR1,Fgf19,Fgfr1
FGF19,FGFR2,Fgf19,Fgfr2
FGF19,FGFR3,Fgf19,Fgfr3
FGF19,FGFR4,Fgf19,Fgfr4
FGF1,FGFR1,Fgf1,Fgfr1
FGF1,FGFR2,Fgf1,Fgfr2
FGF1,FGFR3,Fgf1,Fgfr3
FGF1,FGFR4,Fgf1,Fgfr4
FGF22,FGFR2,Fgf22,Fgfr2
FGF23,FGFR1,Fgf23,Fgfr1
FGF23,FGFR2,Fgf23,Fgfr2
FGF23,FGFR4,Fgf23,Fgfr4
FGF2,FGFR1,Fgf2,Fgfr1
FGF2,FGFR2,Fgf2,Fgfr2
FGF2,FGFR3,Fgf2,Fgfr3
FGF2,FGFR4,Fgf2,Fgfr4
FGF2,SDC2,Fgf2,Sdc2
FGF2,SDC4,Fgf2,Sdc4
FGF3,FGFR1,Fgf3,Fgfr1
FGF3,FGFR2,Fgf3,Fgfr2
FGF4,FGFR1,Fgf4,Fgfr1
FGF4,FGFR2,Fgf4,Fgfr2
FGF4,FGFR3,Fgf4,Fgfr3
FGF4,FGFR4,Fgf4,Fgfr4
FGF5,FGFR1,Fgf5,Fgfr1
FGF5,FGFR2,Fgf5,Fgfr2
FGF5,FGFR3,Fgf5,Fgfr3
FGF5,FGFR4,Fgf5,Fgfr4
FGF6,FGFR1,Fgf6,Fgfr1
FGF6,FGFR2,Fgf6,Fgfr2
FGF6,FGFR4,Fgf6,Fgfr4
FGF7,FGFR2,Fgf7,Fgfr2
FGF8,FGFR1,Fgf8,Fgfr1
FGF8,FGFR2,Fgf8,Fgfr2
FGF8,FGFR3,Fgf8,Fgfr3
FGF8,FGFR4,Fgf8,Fgfr4
FGF9,FGFR1,Fgf9,Fgfr1
FGF9,FGFR2,Fgf9,Fgfr2
FGF9,FGFR3,Fgf9,Fgfr3
FGF9,FGFR4,Fgf9,Fgfr4
