Ligand.ApprovedSymbol,Receptor.ApprovedSymbol,Ligand.ApprovedSymbol,Receptor.ApprovedSymbol
VTN,PLAUR,Vtn,Plaur
VTN,PVR,Vtn,Pvr
VTN,TNFRSF11B,Vtn,Tnfrsf11b
VWF,GP1BA,Vwf,Gp1ba
VWF,ITGA2B,Vwf,Itga2b
VWF,TNFRSF11B,Vwf,Tnfrsf11b
WNT1,LRP5,Wnt1,Lrp5
WNT1,LRP6,Wnt1,Lrp6
WNT2,FZD1,Wnt2,Fzd1
WNT2,FZD5,Wnt2,Fzd5
WNT2,FZD7,Wnt2,Fzd7
WNT2,FZD8,Wnt2,Fzd8
WNT2,FZD9,Wnt2,Fzd9
WNT3A,APCDD1,Wnt3a,Apcdd1
WNT3A,FZD1,Wnt3a,Fzd1
WNT3A,FZD2,Wnt3a,Fzd2
WNT3A,FZD5,Wnt3a,Fzd5
WNT3A,FZD7,Wnt3a,Fzd7
WNT3A,FZD8,Wnt3a,Fzd8
WNT3A,LRP1,Wnt3a,Lrp1
WNT3A,LRP6,Wnt3a,Lrp6
WNT3A,RYK,Wnt3a,Ryk
WNT3,FZD1,Wnt3,Fzd1
WNT3,FZD7,Wnt3,Fzd7
WNT5A,FZD1,Wnt5a,Fzd1
WNT5A,FZD5,Wnt5a,Fzd5
WNT5A,FZD8,Wnt5a,Fzd8
WNT5A,LRP5,Wnt5a,Lrp5
WNT5A,MCAM,Wnt5a,Mcam
WNT5A,ROR1,Wnt5a,Ror1
WNT5A,ROR2,Wnt5a,Ror2
WNT7A,FZD10,Wnt7a,Fzd10
WNT7A,FZD9,Wnt7a,Fzd9
ZG16B,CXCR4,Zg16b,Cxcr4
ZG16B,TLR2,Zg16b,Tlr2
ZG16B,TLR4,Zg16b,Tlr4
ZG16B,TLR5,Zg16b,Tlr5
ZG16B,TLR6,Zg16b,Tlr6
